报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31
报表类型,中报,年报,中报,年报
经营业务所得之现金流入净额,0.07,5.262,-0.991,5.86
投资活动之现金流入净额,1.765,0.181,0.521,-0.941
融资活动之现金流入净额,-1.669,-1.218,-1.636,-1.007
现金及现金等价物增加,0.166,4.225,-2.106,3.912
会计年初之现金及现金等价物,9.17,4.964,4.964,1.055
会计年终之现金及现金等价物,9.346,9.17,2.848,4.964
外汇兑换率变动之影响,0.01,-0.019,-0.01,-0.003
购置固定资产款项,-0.013,-0.295,-0.017,-0.137
币种,港币,港币,港币,港币
