报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
报表类型,一季报,年报,三季报,中报,一季报,年报,三季报,中报
营业额,8046.683,29958.428,20344.946,13188.384,5771.677,25647.464,17477.781,11315.608
除税前盈利/(亏损),2347.941,4884.038,3512.12,2186.218,843.788,2158.414,1284.628,508.807
税项,-576.427,-1291.421,-880.184,-573.454,-254.171,-896.844,-490.12,-286.728
除税后盈利/(亏损),1771.514,3592.617,2631.936,1612.764,589.617,1261.57,794.508,222.079
少数股东权益,-20.176,-24.125,-16.688,-27.038,-14.836,-64.285,-43.806,-35.448
股东应占盈利/(亏损),1791.69,3616.742,2648.624,1639.802,604.453,1325.855,838.314,257.527
股息,,1763.893,,751.288,,587.964,,97.994
除税及股息后盈利/(亏损),1791.69,1852.849,2648.624,888.514,604.453,737.891,838.314,159.533
基本每股盈利(仙),27.400000,55.400000,40.500000,25.100000,9.300000,20.300000,12.800000,3.900000
摊薄每股盈利(仙),--,--,--,--,--,--,--,--
每股股息(仙),--,27.000000,--,11.500000,--,9.000000,--,1.500000
销售成本,-5112.283,-20727.933,-14321.349,-9292.79,-4093.956,-18622.005,-13050.153,-8618.553
折旧,--,-1850.884,--,-898.089,--,-1822.875,--,-899.226
销售及分销费用,-414.558,-1783.594,-1232.653,-779.575,-341.522,-1675.852,-1180.598,-768.132
一般及行政费用,-373.813,-2675.898,-1389.846,-939.971,-390.314,-2301.638,-1372.718,-879.123
利息费用/融资成本,-170.069,-638.342,-474.441,-308.779,-145.069,-692.323,-528.04,-353.602
毛利,2934.4,9230.495,6023.597,3895.594,1677.721,7025.459,4427.628,2697.055
经营盈利,2347.941,4884.038,3512.12,2186.218,843.788,2158.414,1284.628,508.807
应占联营公司盈利,8.363,20.643,49.324,-4.521,-65.53,-58.054,-43.892,-108.409
币种,港币,港币,港币,港币,港币,港币,港币,港币
