报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-10.833,-7.818,-25.699,-10.86,9.579,-8.143
投资活动之现金流入净额,-22.046,-1.557,-2.511,-0.624,-2.918,-1.476
融资活动之现金流入净额,8.114,0,81.098,-1.485,0,0
现金及现金等价物增加,-24.765,-9.375,52.888,-12.969,6.661,-9.619
会计年初之现金及现金等价物,73.85,73.85,20.962,20.962,14.301,23.92
会计年终之现金及现金等价物,49.167,64.475,73.85,7.993,20.962,14.301
外汇兑换率变动之影响,0.082,--,--,--,--,--
购置固定资产款项,-15.914,-0.805,-1.539,-0.634,-2.918,-1.487
币种,港币,港币,港币,港币,港币,港币
