报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,213.919,63.762,155.423,55.741,198.902,205.951,213.634
投资活动之现金流入净额,-711.188,-543.519,353.297,372.051,872.76,-118.752,-379.279
融资活动之现金流入净额,-49.037,-2.254,326.498,-358.599,-1013.488,-95.792,179.118
现金及现金等价物增加,-546.306,-482.011,835.218,69.193,58.174,-8.593,13.473
会计年初之现金及现金等价物,936.374,936.374,95.52,95.52,37.346,45.939,32.466
会计年终之现金及现金等价物,383.796,451.194,936.374,164.713,95.52,37.346,45.939
外汇兑换率变动之影响,-6.272,-3.169,5.636,--,--,--,--
购置固定资产款项,-169.498,-85.585,-99.99,-38.295,-90.101,-27.197,-37.574
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
