报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-162.149,-101.291,16.095,22.272,23.956,5.343
投资活动之现金流入净额,84.469,72.886,137.003,-18.699,22.592,-101.082
融资活动之现金流入净额,91.518,-31.456,-109.384,-43.504,12.329,0.43
现金及现金等价物增加,13.838,-59.861,43.714,-39.931,58.877,-95.309
会计年初之现金及现金等价物,219.54,219.54,193.051,193.051,145.42,247.472
会计年终之现金及现金等价物,247.258,164.707,219.54,146.857,193.051,145.42
外汇兑换率变动之影响,13.88,5.028,-17.225,-6.263,-11.246,-6.743
购置固定资产款项,-17.527,-9.021,-24.171,-11.405,-28.397,-9.985
币种,港币,港币,港币,港币,港币,港币
