报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
利息收入,3800.391,1798.154,3001.17,1463.019,3018.604,1479.516,2135.992,959.82
利息支出,-1483.263,-683.897,-956.37,-480.309,-1239.769,-634.017,-764.245,-340.496
净利息收入,2317.128,1114.257,2044.8,982.71,1778.835,845.499,1371.747,619.324
其他经营收入,58.905,47.622,367.045,118.685,206.406,115.6,226.116,104.03
经营收入,2709.556,1315.779,2674.296,1224.495,2281,1141.516,1829.755,823.208
经营支出,-1353.633,-617.27,-1227.552,-558.311,-1113.757,-526.114,-965.731,-415.415
总准备,-371.591,-218.272,40.198,-16.483,-22.748,-11.164,32.344,44.212
其他盈利/(亏损),-0.919,0,0,0,0,260.114,2011.723,1969.765
除税前盈利/(亏损),1709.265,596.182,1684,707.273,1419.39,864.352,2908.091,2421.77
税项,-144.398,-84.295,-264.296,-115.3,-226.254,-138.385,-165.687,-84.462
除税后盈利/(亏损),1564.867,511.887,1419.704,591.973,1193.136,725.967,2742.404,2337.308
少数股东权益,,,,,,,,
股东应占盈利/(亏损),1564.867,511.887,1419.704,591.973,1193.136,725.967,2742.404,2337.308
股息,352.35,97.875,352.35,97.875,332.775,91.35,2226.983,82.65
除税及股息后盈利/(亏损),1212.517,414.012,1067.354,494.098,860.361,634.617,515.421,2254.658
基本每股营利(仙),217.000000,67.000000,194.000000,79.000000,206.000000,150.000000,630.000000,537.000000
摊薄每股盈利(仙),217.000000,67.000000,194.000000,79.000000,206.000000,150.000000,630.000000,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
