报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,26.367,14.57,23.014,7.22,18.328,9.32,23.814,7.279
除税前盈利/(亏损),-16.644,-5.654,-5.453,-4.259,-9.171,-4.158,-6.045,-8.357
税项,,,,,4.247,,,
除税后盈利/(亏损),-16.644,-5.654,-5.453,-4.259,-4.924,-4.158,-6.045,-8.357
少数股东权益,,,,,,,,
股东应占盈利/(亏损),-16.644,-5.654,-5.453,-4.259,-4.924,-4.158,-6.045,-8.357
股息,,,,,,,,
除税及股息后盈利/(亏损),-16.644,-5.654,-5.453,-4.259,-4.924,-4.158,-6.045,-8.357
基本每股盈利(仙),-6.800000,-2.300000,-2.230000,-1.700000,-2.300000,-2.100000,-3.010000,-4.200000
摊薄每股盈利(仙),--,--,--,--,--,--,--,--
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-25.866,-12.249,-20.605,-8.221,-15.941,-7.81,-19.724,-9.97
折旧,-0.605,-0.36,-0.497,-0.253,-0.478,-0.217,-0.62,-0.306
销售及分销费用,--,--,--,--,--,--,--,--
一般及行政费用,-16.518,-8.652,-13.076,-6.089,-11.989,-6.041,-12.383,-6.634
利息费用/融资成本,--,--,--,--,-0.498,-0.347,-0.983,-0.488
毛利,0.271,2.105,2.254,-1.087,1.914,1.343,3.678,-2.804
经营盈利,-16.644,-5.654,-5.453,-4.259,-8.673,-3.811,-5.062,-7.869
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
