报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,125016,57685,122422,57133,126566,65853,80954,32537
除税前盈利/(亏损),15775,7871,15739,7899,14065,8028,14683,9426
税项,-1141,-527,-1274,-680,-1353,-709,-1365,-877
除税后盈利/(亏损),14634,7344,14465,7219,12712,7319,13318,8549
少数股东权益,571,307,1110,460,1162,434,473,49
股东应占盈利/(亏损),14063,7037,13355,6759,11550,6885,12845,8500
股息,2154,862,1982,,1723,,1723,
除税及股息后盈利/(亏损),11909,6175,11373,6759,9827,6885,11122,8500
基本每股盈利(仙),163.220000,81.670000,155.000000,78.450000,134.050000,79.910000,149.080000,98.650000
摊薄每股盈利(仙),163.220000,81.670000,155.000000,78.450000,134.050000,79.910000,149.080000,98.650000
每股股息(仙),25.000000,10.000000,23.000000,--,20.000000,--,20.000000,--
销售成本,-108904,-49689,-104905,-49357,-109637,-57427,-70244,-27998
折旧,-1758,-869,-1672,-756,-1383,-668,-1250,-507
销售及分销费用,-7270,-3593,-7629,-3202,-7144,-3581,-4134,-1217
一般及行政费用,-4608,-1951,-3754,-1671,-3691,-1601,-3281,-1453
利息费用/融资成本,-592,-467,-445,-359,--,--,--,-236
毛利,16112,7996,17517,7776,16929,8426,10710,4539
经营盈利,15775,7871,15739,7899,14065,8028,14683,9426
应占联营公司盈利,2207,1218,1897,1443,1297,685,2089,2209
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
