报告期,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2011-12-31
报表类型,中报,年报,中报,年报,年报
营业额,3072.736,5033.795,2018.923,4192.553,3359.368
除税前盈利/(亏损),1764.796,3100.407,1180.552,2553.656,1164.22
税项,-287.099,-474.178,-160.862,-363.692,-216.109
除税后盈利/(亏损),1477.697,2626.229,1019.69,2189.964,948.111
少数股东权益,,,,,
股东应占盈利/(亏损),1477.697,2626.229,1019.69,2189.964,948.111
股息,,,,,
除税及股息后盈利/(亏损),1477.697,2626.229,1019.69,2189.964,948.111
基本每股盈利(仙),6.300000,11.200000,4.300000,9.300000,4.000000
摊薄每股盈利(仙),--,--,--,--,--
每股股息(仙),--,--,--,--,--
销售成本,-1155.698,-1986.805,-869.145,-1651.3,-1869.454
折旧,-14.186,-135.837,-12.976,-112.023,-107.595
销售及分销费用,-7.308,-12.076,-4.294,-8.822,-7.176
一般及行政费用,-45.188,-75.008,-36.914,-64.549,-67.223
利息费用/融资成本,-42.605,-63.234,-29.035,-55.105,-17.97
毛利,1917.038,3046.99,1149.778,2541.253,1489.914
经营盈利,1764.796,3100.407,1180.552,2553.656,1164.22
应占联营公司盈利,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币
