报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-23.346,111.293,-102.43,-146.372,113.555,34.56
投资活动之现金流入净额,-2.27,0.119,-30.261,-29.694,-12.163,-5.225
融资活动之现金流入净额,190.912,-12.74,49.307,52.817,-57.179,13.286
现金及现金等价物增加,165.296,98.672,-83.384,-123.249,44.213,42.621
会计年初之现金及现金等价物,79.092,79.092,162.651,162.651,118.438,75.817
会计年终之现金及现金等价物,241.489,177.788,79.092,39.704,162.651,118.438
外汇兑换率变动之影响,-2.899,0.024,-0.175,0.302,--,--
购置固定资产款项,-1.855,--,-29.845,--,-11.903,-2.044
币种,台币,台币,台币,台币,台币,台币
