报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,61.971,266.763,119.297,259.975,90.767,86.1,14.563,52.807
投资活动之现金流入净额,-287.003,-260.957,-127.723,-32.641,60.353,-1070.108,-556.754,-122.991
融资活动之现金流入净额,491.457,-147.619,-76.675,-96.017,-86.847,-7.408,183.262,1005.595
现金及现金等价物增加,266.425,-141.813,-85.101,131.317,64.273,-991.416,-358.929,935.411
会计年初之现金及现金等价物,149.563,288.224,288.224,153.816,153.816,1145.641,1145.641,212.466
会计年终之现金及现金等价物,415.739,149.563,204.658,288.224,217.943,153.816,787.348,1145.641
外汇兑换率变动之影响,-0.249,3.152,1.535,3.091,-0.146,-0.409,0.636,-2.236
购置固定资产款项,-6.663,-4.366,-0.63,-22.671,-15.285,-37.209,-96.843,-28.559
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
