报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
营业额,4527.484,2179.791,1578.58,585.477,741.813,488.049,85.877
除税前盈利/(亏损),-133.756,-98.141,-6259.812,-2189.624,-2216.786,-1767.639,-25.375
税项,-63.568,-33.64,-1.068,-0.115,-0.771,-4.697,-0.438
除税后盈利/(亏损),-197.324,-131.781,-6260.88,-2189.739,-2217.557,-1772.336,-25.813
少数股东权益,,,,,,,
股东应占盈利/(亏损),-197.324,-131.781,-6260.88,-2189.739,-2217.557,-1772.336,-25.813
股息,,,,,,,
除税及股息后盈利/(亏损),-197.324,-131.781,-6260.88,-2189.739,-2217.557,-1772.336,-25.813
基本每股盈利(仙),-5.000000,-3.000000,-303.000000,-111.000000,,,
摊薄每股盈利(仙),-5.000000,-3.000000,-303.000000,-111.000000,--,--,--
每股股息(仙),--,--,--,--,--,--,--
销售成本,-3482.998,-1744.539,-1339.42,-510.996,-641.323,-401.376,-36.272
折旧,-40.061,-18.641,-26.803,-12.146,-11.367,-3.057,-0.821
销售及分销费用,-596.729,-240.398,-424.845,-196.76,-649.092,-120.955,-16.201
一般及行政费用,-237.865,-95.175,-198.586,-70.424,-94.742,-38.281,-14.134
利息费用/融资成本,-0.536,--,-12.162,--,-0.155,-1.296,-4.891
毛利,1044.486,435.252,239.16,74.481,100.49,86.673,49.605
经营盈利,-133.756,-98.141,-652.21,-2189.624,-752.722,-119.446,2.83
应占联营公司盈利,0.016,0.302,-0.512,-0.351,-0.319,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
