报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,3.336,0.358,-47.426,-7.144,36.42,27.696,6.333
投资活动之现金流入净额,-3.675,-4.653,-1.815,-1.542,-0.956,-19.422,-8.744
融资活动之现金流入净额,-8.575,-2.905,65.313,4.892,-28.102,-10.73,2.93
现金及现金等价物增加,-8.914,-7.2,16.072,-3.794,7.362,-2.456,0.519
会计年初之现金及现金等价物,23.833,23.833,7.754,7.754,0.392,2.848,2.329
会计年终之现金及现金等价物,14.776,16.581,23.833,3.971,7.754,0.392,2.848
外汇兑换率变动之影响,-0.143,-0.052,0.007,0.011,--,--,--
购置固定资产款项,-2.062,-3.134,-1.84,-1.567,-10.681,-3.215,-9.073
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
