报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,10186.066,5036.916,8098.053,3860.897,7336.445,3850.163,7560.266,3810.608
除税前盈利/(亏损),2467.541,1167.062,1913.662,849.828,1676.302,725.439,1596.433,714.775
税项,-462.241,-225.144,-362.787,-159.66,-312.967,-140.431,-291.417,-139.594
除税后盈利/(亏损),2005.3,941.918,1550.875,690.168,1363.335,585.008,1305.016,575.181
少数股东权益,-0.094,0.027,-0.015,,,,,
股东应占盈利/(亏损),2005.394,941.891,1550.89,690.168,1363.335,585.008,1305.016,575.181
股息,688.469,340.247,515.024,231.124,464.976,210.779,430.147,203.139
除税及股息后盈利/(亏损),1316.925,601.644,1035.866,459.044,898.359,374.229,874.869,372.042
基本每股盈利(仙),126.000000,59.000000,97.000000,43.000000,85.000000,37.000000,82.000000,36.000000
摊薄每股盈利(仙),126.000000,59.000000,97.000000,43.000000,85.000000,37.000000,81.000000,36.000000
每股股息(仙),52.000000,25.000000,32.390000,14.500000,29.118200,13.200000,26.900200,12.700000
销售成本,-6589.259,-3267.409,-5314.869,-2542.788,-4917.178,-2607.606,-5107.526,-2580.317
折旧,-215.767,-104.059,-178.038,-89.018,-154.235,-80.547,-139,-72.725
销售及分销费用,-813.986,-390.54,-608.393,-333.142,-602.499,-344.965,-636.82,-330.041
一般及行政费用,-511.263,-245.081,-488.147,-222.695,-428.635,-203.725,-415.203,-205.848
利息费用/融资成本,-139.616,-118.853,-152.335,-60.566,-77.041,-93.11,-51.617,-82.763
毛利,3596.807,1769.507,2783.184,1318.109,2419.267,1242.557,2452.74,1230.291
经营盈利,2372.889,1160.674,1811.027,799.517,1545.506,721.971,1485.906,724.201
应占联营公司盈利,4.64,1.246,3.045,1.039,3.526,0.165,4.052,1.815
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
