报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
经营业务所得之现金流入净额,-0.994191,6.023417,15.34614
投资活动之现金流入净额,-1.596138,2.280174,-9.363561
融资活动之现金流入净额,53.630742,-7.409786,-4.70565
现金及现金等价物增加,51.040413,0.893805,1.276929
会计年初之现金及现金等价物,15.710607,14.816802,13.539873
会计年终之现金及现金等价物,66.75102,15.710607,14.816802
外汇兑换率变动之影响,--,--,--
购置固定资产款项,-1.68479,-0.58432,-0.139552
币种,港币,港币,港币
