报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
报表类型,一季报,年报,三季报,中报,一季报,年报,三季报,中报
营业额,4876.605925,18331.422,13167.657172,8411.982,4309.396605,17280.504,12666.213585,8078.603
除税前盈利/(亏损),590.964132,1347.132,1175.004828,672.973,375.939711,1544.009,1445.184943,907.042
税项,-146.319496,-335.364,-288.780879,-166.754,-94.507585,-390.309,-358.97897,-227.368
除税后盈利/(亏损),444.644636,1011.768,886.223949,506.219,281.432126,1153.7,1086.205973,679.674
少数股东权益,-1.400059,-3.593,-2.261532,-2.497,-1.068119,-4.553,-3.229764,-2.148
股东应占盈利/(亏损),446.044695,1015.361,888.485481,508.716,282.500245,1158.253,1089.435737,681.822
股息,,566.68296,,,,566.68296,,
除税及股息后盈利/(亏损),446.044695,448.67804,888.485481,508.716,282.500245,591.57004,1089.435737,681.822
基本每股盈利(仙),6.300000,14.000000,12.500000,7.000000,4.000000,16.000000,15.400000,10.000000
摊薄每股盈利(仙),6.300000,14.000000,12.500000,7.000000,4.000000,16.000000,15.400000,10.000000
每股股息(仙),--,8.000000,--,--,--,8.000000,--,--
销售成本,-4222.415891,--,-11780.233948,--,-3863.361852,--,-10995.624672,--
折旧,--,-1662.46,--,-879.541,--,-1518.97,--,-714.961
销售及分销费用,--,--,-3.162602,--,-1.006776,--,-8.036198,--
一般及行政费用,-52.28635,-94.848,-170.81621,--,-59.606761,-78.769,-166.482402,--
利息费用/融资成本,--,-10.17,--,-4.957,--,--,--,--
毛利,654.190034,18309.764,1387.423224,8411.982,432.443643,17228.188,1621.083932,8078.603
经营盈利,592.727901,1350.358,1188.583801,671.23,377.708841,1534.235,1482.328366,898.839
应占联营公司盈利,1.830871,6.944,8.066158,6.7,2.432377,7.223,10.2421,6.134
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
