报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31
报表类型,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,0.170472,0.571563,3.039235,1.135677,3.08014
投资活动之现金流入净额,-6.667126,-0.082174,-0.173388,-0.173388,-0.108651
融资活动之现金流入净额,10.287605,-4.195679,-2.156374,-0.005462,-1.102102
现金及现金等价物增加,3.790951,-3.70629,0.709473,0.956827,1.869387
会计年初之现金及现金等价物,5.210089,5.210089,4.500616,4.500616,2.631229
会计年终之现金及现金等价物,9.00104,1.503799,5.210089,5.457443,4.500616
外汇兑换率变动之影响,--,--,--,--,--
购置固定资产款项,-0.281269,-0.082224,-0.173388,-0.173388,-0.109051
币种,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元
