报告期,2003-12-31,2002-12-31,2001-12-31
报表类型,年报,年报,年报
经营业务所得之现金流入净额,35.936,23.618,19.67
投资活动之现金流入净额,-15.816,-84.895,-16.51
融资活动之现金流入净额,13.3,93.24,12.593
现金及现金等价物增加,33.42,31.963,15.753
会计年初之现金及现金等价物,63.739,31.776,16.023
会计年终之现金及现金等价物,97.159,63.739,31.776
外汇兑换率变动之影响,--,--,--
购置固定资产款项,-53.568,-68.287,-18.893
币种,人民币,人民币,人民币
