报告期,2017-03-31,2016-03-31,2015-03-31
报表类型,年报,年报,年报
经营业务所得之现金流入净额,9.532,11.576,17.837
投资活动之现金流入净额,-1.148,-0.088,-15.317
融资活动之现金流入净额,-8.09,-2.958,-2.29
现金及现金等价物增加,0.294,8.53,0.23
会计年初之现金及现金等价物,15.248,6.718,6.488
会计年终之现金及现金等价物,15.542,15.248,6.718
外汇兑换率变动之影响,--,--,--
购置固定资产款项,-1.106,-1.408,-22.005
币种,港币,港币,港币
