报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,3423.55,1240.115,-279.777,-2070.973,-136.985,-1245.151,-1554.573,-2409.097
投资活动之现金流入净额,-8077.971,-3021.008,-588.285,-320.43,-112.575,164.002,-2005.891,-504.775
融资活动之现金流入净额,5593.049,6558.972,3221.359,4315.281,1674.639,75.234,3652.678,2718.084
现金及现金等价物增加,938.628,4778.079,2353.297,1923.878,1425.079,-1005.915,92.214,-195.788
会计年初之现金及现金等价物,7211.994,7211.994,4835.079,4835.079,3385.232,3385.232,3284.604,3284.604
会计年终之现金及现金等价物,8145.483,11987.958,7211.994,6780.08,4835.079,2379.017,3385.232,3096.054
外汇兑换率变动之影响,-5.139,-2.115,23.618,21.123,24.768,-0.3,8.414,7.238
购置固定资产款项,-581.359,-125.655,-203.197,-97.628,-129.983,-5.581,-17.566,-4.284
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
