报告期,2017-03-31,2016-03-31
报表类型,年报,年报
经营业务所得之现金流入净额,12.853,24.464
投资活动之现金流入净额,-4.271,4.017
融资活动之现金流入净额,7.772,-34.565
现金及现金等价物增加,16.354,-6.084
会计年初之现金及现金等价物,12.176,21.097
会计年终之现金及现金等价物,26.714,12.176
外汇兑换率变动之影响,-1.816,-2.837
购置固定资产款项,-3.894,-4.852
币种,港币,港币
