报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-73.575,39.096,27.323,11.737,15.946,109.125
投资活动之现金流入净额,-37.291,-0.854,72.751,72.409,-48.277,-104.426
融资活动之现金流入净额,111.101,-14.274,-94.377,-83.87,32.429,3.375
现金及现金等价物增加,0.235,23.968,5.697,0.276,0.098,8.074
会计年初之现金及现金等价物,19.501,19.501,13.804,13.804,13.706,5.632
会计年终之现金及现金等价物,19.736,43.469,19.501,14.08,13.804,13.706
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-0.976,--,-0.631,--,-14.347,-13.086
币种,港币,港币,港币,港币,港币,港币
