报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
经营业务所得之现金流入净额,4.825,12.988,5.821
投资活动之现金流入净额,-5.843,-13.039,-6.593
融资活动之现金流入净额,5.678,9.886,-2.138
现金及现金等价物增加,4.66,9.835,-2.91
会计年初之现金及现金等价物,12.573,2.82,5.93
会计年终之现金及现金等价物,17.212,12.573,2.82
外汇兑换率变动之影响,-0.021,-0.082,-0.2
购置固定资产款项,-0.134,-0.078,-0.01
币种,港币,港币,港币
