报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报,年报
现金及短期资金,45635.132,45669.026,42586.362,36717.051,33008.307,33854.83,22980.122,18435.841
银行同业及其他金融机构之存款,4723.649,4327.238,1414.928,3020.381,7679.078,1835.245,6196.052,2084.506
贸易票据,--,--,--,--,--,--,--,--
香港特区政府负债证明书,,,,,,,,
客户贷款及其他账项,124455.942,118445.45,107633.407,101148.136,91604.436,76226.19,61535.982,49153.253
持至到期证券 债务证券 股票,59267.821,55250.098,49671.048,35462.05,23901.914,22064.64,16730.401,7097.535
联营公司权益,280.191,248.371,255.195,216.054,195.625,146.108,119.161,83.101
合资公司权益及其他权益,--,--,--,--,--,--,--,--
无形资产,,,,,,,,
固定资产及投资物业,1813.326,1735.536,1698.99,1575.708,1604.561,1158.572,926.061,738.527
其他资产,151446.815,154604.067,146670.498,114984.331,82832.493,53732.901,32008.329,16355.646
总资产,435828.887,417534.66,366147.972,315844.706,265623.089,204289.209,149334.284,103734.013
香港特区政府纸币流通额,,,,,,,,
银行及其他金融机构存款及结余,28934.366,25751.207,25808.253,29834.01,21453.178,32187.313,14212.739,7927.81
客户存款,255407.398,245401.278,216389.64,195062.06,169195.471,132561.375,102096.803,74654.469
已发行之债务证券,73170.06,60144.951,44660.446,35914.47,27039.068,8503.833,5690,690
其他负债,44179.25,62843.078,56838.584,34350.926,29605.537,19371.042,17495.613,12652.026
总负债,402389.522,394461.565,344286.597,295913.316,247799.07,192883.631,139797.818,96062.664
借入资本,--,--,--,--,--,--,--,--
股本,5321.932,5321.932,5321.932,5321.932,5141.932,3941.932,3941.932,3941.932
储备,26883.955,17070.403,15974.446,14080.941,12652.908,7463.646,5594.534,3729.417
股东权益/(亏损),32205.887,22392.335,21296.378,19402.873,17794.84,11405.578,9536.466,7671.349
少数股东权益 - (借)/贷,1233.478,680.76,564.997,528.517,29.179,,,
资本来源合计,33439.365,23073.095,21861.375,19931.39,17824.019,11405.578,9536.466,7671.349
负债及资本来源合计,435828.887,417534.66,366147.972,315844.706,265623.089,204289.209,149334.284,103734.013
股份数目 (千),1518000000,1518000000,1518000000,1518000000,1320000000,--,--,--
持有的存款证,--,--,--,--,--,--,--,--
持作买卖用途的证券,,,,,,,,
已发行的存款证,--,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
