报告期,2018-03-31,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-14.258,5.065,43.302,29.782,9.293,32.022
投资活动之现金流入净额,-43.277,-6.908,-8.897,-1.037,-2.179,-15.562
融资活动之现金流入净额,0,0,71.788,0,-10.6,-10.6
现金及现金等价物增加,-57.535,-1.843,106.193,28.745,-3.486,5.86
会计年初之现金及现金等价物,135.444,135.444,29.251,29.251,32.737,26.877
会计年终之现金及现金等价物,77.909,133.601,135.444,57.996,29.251,32.737
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-10.867,-6.908,-8.892,-1.032,-2.182,-15.563
币种,港币,港币,港币,港币,港币,港币
