报告期,2017-03-31,2016-03-31
报表类型,年报,年报
经营业务所得之现金流入净额,13.67,9.446
投资活动之现金流入净额,-7.882,4.094
融资活动之现金流入净额,-4.834,-12.919
现金及现金等价物增加,0.954,0.621
会计年初之现金及现金等价物,1.182,0.561
会计年终之现金及现金等价物,2.136,1.182
外汇兑换率变动之影响,--,--
购置固定资产款项,-0.046,-0.253
币种,港币,港币
