报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-3.736,10.528,23.262,-0.171,-20.103,46.04,40.857
投资活动之现金流入净额,-4.731,0.634,-4.307,-14.47,-8.914,-4.986,-0.097
融资活动之现金流入净额,0,59.585,-21.51,-15.986,-12.251,-7.143,-5.471
现金及现金等价物增加,-8.467,70.747,-2.555,-30.627,-41.268,33.911,35.289
会计年初之现金及现金等价物,122.341,51.594,51.594,82.221,82.221,48.313,13.038
会计年终之现金及现金等价物,113.874,122.341,49.039,51.594,40.953,82.221,48.313
外汇兑换率变动之影响,--,--,--,--,--,-0.003,-0.014
购置固定资产款项,-0.11,-2.612,-0.093,-0.156,-0.116,-0.469,-0.101
币种,港币,港币,港币,港币,港币,港币,港币
