报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,9.071,-3.334,20.11,43.008,7.727,12.438,0.852
投资活动之现金流入净额,-26.561,-43.391,-0.564,-3.979,-12.953,-11.256,-1.743
融资活动之现金流入净额,-2.595,70.173,70.971,-14.466,5.031,0.027,0.002
现金及现金等价物增加,-20.085,23.448,90.517,24.563,-0.195,1.209,-0.889
会计年初之现金及现金等价物,49.415,25.967,25.967,1.404,1.404,0.195,1.084
会计年终之现金及现金等价物,29.33,49.415,116.484,25.967,1.209,1.404,0.195
外汇兑换率变动之影响,--,--,--,--,--,--,--
购置固定资产款项,-2.8,-5.129,-0.586,-4.248,--,-11.36,-1.743
币种,港币,港币,港币,港币,港币,港币,港币
