报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,-6.171,-56.337,-30.462,-53.607,61.526,-29.014,-64.401,-84.571
投资活动之现金流入净额,27.505,3.008,-59.696,-25.35,-24.956,-21.755,18.714,17.589
融资活动之现金流入净额,0.834,7.414,-16.081,-15.75,-22.284,-21.102,288.772,-20.373
现金及现金等价物增加,22.168,-45.915,-106.239,-94.707,14.286,-71.871,243.085,-87.355
会计年初之现金及现金等价物,286.352,286.352,393.383,393.383,382.624,382.624,139.712,139.712
会计年终之现金及现金等价物,309.32,240.939,286.352,298.139,393.383,310.635,382.624,52.346
外汇兑换率变动之影响,0.8,0.502,-0.792,-0.537,-3.527,-0.118,-0.173,-0.011
购置固定资产款项,-9.097,-2.013,-11.014,-3.877,-14.174,-10.547,-11.769,-7.159
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
