报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
现金及短期资金,40039.192,34820.475,26983.991
银行同业及其他金融机构之存款,1818.235,4624.951,6816.835
贸易票据,--,--,--
香港特区政府负债证明书,,,
客户贷款及其他账项,124769.378,104153.645,82253.428
持至到期证券 债务证券 股票,25620.386,20063.182,16586.432
联营公司权益,129.266,117.24,116.119
合资公司权益及其他权益,--,--,--
无形资产,,,
固定资产及投资物业,2642.897,2520.727,2413.111
其他资产,113269.41,71607.527,58080.797
总资产,370005.298,313740.792,211448.81
香港特区政府纸币流通额,,,
银行及其他金融机构存款及结余,29820.013,30829.329,13155.367
客户存款,243837.351,191137.769,144038.115
已发行之债务证券,43473.768,43786.584,17362.19
其他负债,29106.607,26382.103,17089.731
总负债,346733.237,292568.465,191645.57
借入资本,--,--,--
股本,4678.777,4678.777,4678.777
储备,18034.968,15962.782,14634.217
股东权益/(亏损),22713.745,20641.559,19312.994
少数股东权益 - (借)/贷,558.316,530.768,490.246
资本来源合计,23272.061,21172.327,19803.24
负债及资本来源合计,370005.298,313740.792,211448.81
股份数目 (千),--,--,--
持有的存款证,--,--,--
持作买卖用途的证券,,,
已发行的存款证,--,--,--
币种,人民币,人民币,人民币
