报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-17.84,-14.258,10.548,3.883,-3.268,7.56
投资活动之现金流入净额,-4.077,-2.653,-8.035,-3.206,-0.639,-4.73
融资活动之现金流入净额,55.25,51.389,-9.499,-9.199,3.96,-2.802
现金及现金等价物增加,33.333,34.478,-6.986,-8.522,0.053,0.028
会计年初之现金及现金等价物,-6.668,-6.668,0.318,0.318,0.265,0.237
会计年终之现金及现金等价物,26.665,27.81,-6.668,-8.204,0.318,0.265
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-4.335,-2.85,-8.426,-3.288,-1.348,-5.014
币种,港币,港币,港币,港币,港币,港币
