报告期,2004-03-31,2003-12-31,2002-12-31,2001-12-31
报表类型,一季报,年报,年报,年报
营业额,159.821,548.087,390.232,133.076
除税前盈利/(亏损),12.409,22.331,2.528,-4.149
税项,-2.198,-3.962,,
除税后盈利/(亏损),10.211,18.369,2.528,-4.149
少数股东权益,,,,
股东应占盈利/(亏损),10.211,18.369,2.528,-4.149
股息,,3.5,0,0
除税及股息后盈利/(亏损),10.211,14.869,2.528,-4.149
基本每股盈利(仙),3.40,6.10,0.84,-1.38
摊薄每股盈利(仙),--,--,--,--
每股股息(仙),--,3.50,--,--
销售成本,146.569,521.938,385.811,136.363
折旧,--,0.019,0.045,0.045
销售及分销费用,--,--,--,--
一般及行政费用,0.846,3.949,1.989,1.263
利息费用/融资成本,--,--,--,--
毛利,13.252,26.149,4.421,-3.287
经营盈利,12.409,22.331,2.528,-4.149
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
