报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-09-30,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
非流动资产,179.836,192.09,267.892,268.657,175.903,160.165,72.504,3.934
流动资产,322.799,427.949,339.708,376.513,51.395,101.545,194.696,155.392
流动负债,105.925,112.72,40.346,22.458,20.167,25.404,12.013,11.428
净流动资产/(负债),216.874,315.229,299.362,354.055,31.228,76.141,182.683,143.964
非流动负债,67.112,67.547,38.99,60.011,101.436,96.217,--,--
少数股东权益 - (借)/贷,9.19,9.091,6.724,6.75,1.638,1.4,,
净资产/(负债),329.598,439.772,528.264,562.701,105.695,140.089,255.187,147.898
已发行股本,48.58,48.58,48.58,48.58,8.58,8.58,8.579,5.018
储备,271.828,382.101,472.96,507.371,95.477,130.109,246.608,142.88
股东权益/(亏损),320.408,430.681,521.54,555.951,104.057,138.689,255.187,147.898
无形资产(非流动资产),12.8,12.8,--,--,--,--,--,--
物业、厂房及设备(非流动资产),2.112,2.367,2.645,2.255,1.825,2.427,1.195,1.368
附属公司权益(非流动资产),--,--,80.75,80.75,--,--,--,--
联营公司权益 (非流动资产),0.102,12,72.786,73.941,49.894,43.225,69.068,0.325
其他投资(非流动资产),,,,,9.671,,2.241,2.241
应收账款(流动资产),29.366,90.112,14.677,63.127,20.17,89.656,90.849,120.038
存货(流动资产),--,--,--,--,--,--,--,--
现金及银行结存(流动资产),24.61,89.674,16.75,23.729,4.766,17.004,43.513,4.024
应付帐款(流动负债),17.907,33.622,3.633,2.593,2.321,3.579,4.5,4.82
银行贷款(流动负债),--,1.466,1.511,1.563,1.581,1.644,--,--
非流动银行贷款,--,--,--,--,--,--,--,--
总资产,502.635,620.039,607.6,645.17,227.298,261.71,267.2,159.326
总负债,173.037,180.267,79.336,82.469,121.603,121.621,12.013,11.428
股份数目(香港),4857969000股,4857969000股,4857969000股,4857969000股,857969000股,857969000股,857894800股,501840000股
币种,港币,港币,港币,港币,港币,港币,港币,港币
