报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,53731.317,58940.951,56343.807,61960.492,-18114.751,-21045.103,-27412.287,-32776.12
投资活动之现金流入净额,-74841.735,-31158.222,-116037.307,-64012.518,-24266.835,14913.02,-21049.505,6089.108
融资活动之现金流入净额,58478.335,54306.427,80237.894,42028.222,71172.422,47929.882,34491.654,36690.145
现金及现金等价物增加,37367.917,82089.156,20544.394,39976.196,28790.836,41797.799,-13970.138,10003.133
会计年初之现金及现金等价物,84107.649,84107.649,63102.681,63102.681,34476.92,34476.92,48192.046,48192.046
会计年终之现金及现金等价物,119930.341,165134.284,84107.649,102795.679,63102.681,76310.477,34476.92,58194.073
外汇兑换率变动之影响,-1545.225,-1062.521,460.574,-283.198,-165.075,35.758,255.012,-1.106
购置固定资产款项,-1272.634,-84.474,-1295.061,-148.069,-1077.136,-203.004,-359.678,-82.209
币种,人民币,人民币,港币,人民币,人民币,人民币,人民币,人民币
