报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,440.847,-288.233,-174.526,251.214,142.973,138.767
投资活动之现金流入净额,-0.707,-2.343,-1.245,583.535,-32.888,-256.39
融资活动之现金流入净额,-50.769,-62.046,-424.049,-162.388,70.965,119.179
现金及现金等价物增加,389.371,-352.622,-599.82,672.361,181.05,1.556
会计年初之现金及现金等价物,732.196,1084.818,1084.818,412.457,231.407,229.851
会计年终之现金及现金等价物,1121.567,732.196,484.998,1084.818,412.457,231.407
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-0.707,-2.427,-1.245,-5.889,-2.069,-0.715
币种,港币,港币,港币,港币,港币,港币
