报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
报表类型,一季报,年报,三季报,中报,一季报,年报,三季报,中报
经营业务所得之现金流入净额,95.684859,1641.307,1845.601132,732.844,376.240281,1218.481,1309.579872,460.961
投资活动之现金流入净额,-4406.160516,-2193.831,-1927.482915,-1248.405,-801.977511,-2717.544,-777.033304,-245.456
融资活动之现金流入净额,7387.817251,3160.973,858.192341,2478.342,1995.577528,1203.592,-517.788624,514.02
现金及现金等价物增加,3077.341594,2608.449,776.310557,1962.781,1569.840299,-295.471,14.757943,729.525
会计年初之现金及现金等价物,13569.41412,10979.744,10979.743874,10979.744,10979.743874,11277.855,11277.854942,11277.855
会计年终之现金及现金等价物,16563.966804,13569.414,11732.3369,12922.279,12543.396405,10979.744,11293.746783,12011.013
外汇兑换率变动之影响,-82.78891,-18.779,-23.717532,-20.246,-6.187768,-2.64,1.133897,3.633
购置固定资产款项,-458.415787,-1874.145,-1445.351831,-928.903,-414.911198,-1874.941,-1316.173938,-693.319
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
