报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-09-30,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,-5.845603,1.845893,-7.235055,0.746395,2.825036,5.672474,-0.796095,-32.400572
投资活动之现金流入净额,-9.7E-5,-5.969613,-5.969611,0.608367,-2.391633,4.01901,0.456919,5.604798
融资活动之现金流入净额,0,0,0,0,0,0,0,0
现金及现金等价物增加,-5.8457,-4.12372,-13.204666,1.354762,0.433403,9.691484,-0.339176,-26.795774
会计年初之现金及现金等价物,12.539728,16.663448,16.663448,15.308686,15.308686,5.617202,5.617203,32.412976
会计年终之现金及现金等价物,6.694028,12.539728,3.458782,16.663448,15.742089,15.308686,5.278027,5.617202
外汇兑换率变动之影响,--,--,--,--,--,--,--,--
购置固定资产款项,--,--,--,--,--,-0.00585,-0.00585,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
