报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,246.892,143.898,208.554,88.867,332.511,123.274,447.476,135.69
投资活动之现金流入净额,62.614,110.539,73.735,110.79,-121.221,152.649,23.323,146.882
融资活动之现金流入净额,-261.088,-256.397,-369.58,-337.06,-304.695,-207.345,-452.556,-318.845
现金及现金等价物增加,48.418,-1.96,-87.291,-137.403,-93.405,68.578,18.243,-36.273
会计年初之现金及现金等价物,199.694,199.694,299.771,299.771,406.29,406.29,414.83,414.83
会计年终之现金及现金等价物,292.511,200.124,199.694,161.123,299.771,475.697,406.29,352.486
外汇兑换率变动之影响,44.399,2.39,-12.786,-1.245,-13.114,0.829,-26.783,-26.071
购置固定资产款项,-47.277,-7.43,-69.922,-31.875,-169.654,-80.058,-124.78,-45.894
币种,港币,港币,港币,港币,港币,港币,港币,港币
