报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,26.8,3.833,-6.075,-1.86,4.551,24.401
投资活动之现金流入净额,0.143,0.004,8.378,6.186,-10.466,-22.838
融资活动之现金流入净额,0,0,40.131,-2.203,-0.255,0.006
现金及现金等价物增加,26.943,3.837,42.434,2.123,-6.17,1.569
会计年初之现金及现金等价物,44.219,44.219,1.91,1.91,8.16,6.683
会计年终之现金及现金等价物,71.305,48.056,44.219,4.029,1.91,8.16
外汇兑换率变动之影响,0.143,--,-0.125,-0.004,-0.08,-0.092
购置固定资产款项,-0.027,-0.027,-0.093,-0.068,-0.035,-2.038
币种,港币,港币,港币,港币,港币,港币
