报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-06-30
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,388.773,290.62,264.395,297.186,217.105,282.003,88.112
投资活动之现金流入净额,-62.735,-386.957,-484.413,110.136,97.789,-19.544,-155.314
融资活动之现金流入净额,-245.853,416.598,416.598,-394.989,-295.393,-192.677,0.94
现金及现金等价物增加,80.185,320.261,196.58,12.333,19.501,69.782,-66.262
会计年初之现金及现金等价物,494.334,167.523,167.523,154.981,154.981,85.203,151.462
会计年终之现金及现金等价物,566.618,494.334,364.249,167.523,174.552,154.981,85.203
外汇兑换率变动之影响,-7.901,6.55,0.146,0.209,0.07,-0.004,0.003
购置固定资产款项,-51.025,-54.108,-23.174,-33.45,-17.097,-29.792,-28.879
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
