报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-20.012,-8.721,-5.982,-4.213,3.566,-0.825,13.707,19.201
投资活动之现金流入净额,7.691,-0.482,-10.949,1.743,2.692,7.534,30.766,-16.12
融资活动之现金流入净额,10.335,2.983,21.541,15.975,-2.48,4.033,-44.922,0.813
现金及现金等价物增加,-1.986,-6.22,4.61,13.505,3.778,10.742,-0.449,3.894
会计年初之现金及现金等价物,15.04,25.087,10.43,10.43,6.652,6.652,7.101,3.207
会计年终之现金及现金等价物,13.641,18.867,15.04,23.935,10.43,17.394,6.652,7.101
外汇兑换率变动之影响,0.587,--,--,--,--,--,--,--
购置固定资产款项,-2.986,-0.505,-3.055,-1.329,-2.252,-0.282,-1.195,-3.493
币种,港币,港币,港币,港币,港币,港币,港币,港币
