报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31
报表类型,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,3.007,-0.132,1.734,3.486,4.344,11.002
投资活动之现金流入净额,-1.236,-3.487,-0.075,-8.146,-3.508,-7.673
融资活动之现金流入净额,-0.428,63.064,-1.415,-2.915,-1.339,8.055
现金及现金等价物增加,1.343,59.445,0.244,-7.575,-0.503,11.384
会计年初之现金及现金等价物,68.924,9.479,9.479,17.054,17.054,5.67
会计年终之现金及现金等价物,70.267,68.924,9.723,9.479,16.551,17.054
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-1.402,-2.536,-0.051,-0.243,-0.036,-0.477
币种,港币,港币,港币,港币,港币,港币
