报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
经营业务所得之现金流入净额,-3.177,-18.192,14.124
投资活动之现金流入净额,112.689,34.925,-114.415
融资活动之现金流入净额,-106.512,-20.617,107.732
现金及现金等价物增加,3,-3.884,7.441
会计年初之现金及现金等价物,7.681,11.888,4.792
会计年终之现金及现金等价物,10.758,7.681,11.888
外汇兑换率变动之影响,0.077,-0.323,-0.345
购置固定资产款项,-12.791,-4.189,-17.211
币种,港币,港币,港币
