报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-3463.080445,-96.372354,-1657.272243,-1072.931599,-1339.419052,-1063.036606
投资活动之现金流入净额,1342.042435,-498.808586,-3172.506193,-1639.31804,-8.753516,-13.971988
融资活动之现金流入净额,2329.519188,1043.812528,5564.646119,3722.663217,1383.007928,1162.13829
现金及现金等价物增加,208.481178,448.631588,734.867683,1010.413578,34.83536,85.129696
会计年初之现金及现金等价物,972.889752,972.889752,238.022069,238.022069,203.186709,118.348564
会计年终之现金及现金等价物,1181.37093,1421.52134,972.889752,1248.435647,238.022069,203.186709
外汇兑换率变动之影响,--,--,--,--,--,-0.291551
购置固定资产款项,-22.019032,-0.918935,-4.828855,-0.801274,-4.098533,-12.192503
币种,港币,港币,港币,港币,港币,港币
