报告期,2006-06-30,2005-06-30,2004-06-30,2003-06-30,2002-06-30,2001-06-30,2000-06-30
报表类型,年报,年报,年报,年报,年报,年报,年报
经营业务所得之现金流入净额,14404,16605,14626,15797,14509,13422,11426
投资活动之现金流入净额,8003,15027,-3342,-7213,-10845,-8734,-9392
融资活动之现金流入净额,-20562,-41078,-2364,-5223,-4572,-5586,-2192
现金及现金等价物增加,1845,-9446,8920,3361,-908,-898,-158
会计年初之现金及现金等价物,4851,14304,5357,3016,3922,4846,4975
会计年终之现金及现金等价物,6714,4851,14304,6438,3016,3922,4846
外汇兑换率变动之影响,18,-7,27,61,2,-26,29
购置固定资产款项,-1578,-812,-1109,-891,-770,--,--
币种,美元,美元,美元,美元,美元,美元,美元
