报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,-35.659,-20.3,-1.646,-2.364,-14.655,-7.507,3.876,17.374
投资活动之现金流入净额,154.395,184.078,30.477,31.119,-168.358,-153.123,-197.136,-198.356
融资活动之现金流入净额,-0.032,-5.474,-56.434,-56.445,0.162,0.106,436.751,379.697
现金及现金等价物增加,118.704,158.304,-27.603,-27.69,-182.851,-160.524,243.491,198.715
会计年初之现金及现金等价物,87.483,87.483,115.689,115.689,299.19,299.19,56.199,56.199
会计年终之现金及现金等价物,208.138,246.508,87.483,87.955,115.689,138.676,299.19,254.774
外汇兑换率变动之影响,1.951,0.721,-0.603,-0.044,-0.65,0.01,-0.5,-0.14
购置固定资产款项,-0.231,-0.098,-0.078,--,-0.061,-0.052,-0.158,-0.034
币种,港币,港币,港币,港币,港币,港币,港币,港币
