报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
经营业务所得之现金流入净额,-193.422,-71.402,-64.398,32.004
投资活动之现金流入净额,-3.073,-49.266,-0.109,0.131
融资活动之现金流入净额,205.037,160.293,63.203,-36.112
现金及现金等价物增加,8.542,39.625,-1.304,-3.977
会计年初之现金及现金等价物,55.971,16.128,17.518,21.55
会计年终之现金及现金等价物,64.198,55.971,16.128,17.518
外汇兑换率变动之影响,-0.315,0.218,-0.086,-0.055
购置固定资产款项,-1.213,-49.266,-0.109,-0.029
币种,港币,港币,港币,港币
