报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,3.743094,10.554277,-5.63016,15.627806,7.601733
投资活动之现金流入净额,-2.218385,-0.578664,-0.16794,-1.352073,-2.922943
融资活动之现金流入净额,-5.112167,1.23967,-0.023655,-2.117558,-0.734066
现金及现金等价物增加,-3.587458,11.215283,-5.821755,12.158175,3.944724
会计年初之现金及现金等价物,29.729924,18.490429,18.490429,6.332254,2.38753
会计年终之现金及现金等价物,26.106409,29.729924,12.668674,18.490429,6.332254
外汇兑换率变动之影响,-0.036057,0.024212,--,--,--
购置固定资产款项,-2.245279,-0.556079,-0.362377,-3.277109,-0.621943
币种,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元
