报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-09-30,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,28.975,95.479,20,131.032,-5.575,-5.376,-62.708,64.544
投资活动之现金流入净额,-4.583,-53.383,-32.91,-50.004,-16.908,52.824,82.041,-83.686
融资活动之现金流入净额,-43.994,-27.819,22.251,-24.71,-1.274,-37.395,-24.796,-52.328
现金及现金等价物增加,-19.602,14.277,9.341,56.318,-23.757,10.053,-5.463,-71.47
会计年初之现金及现金等价物,223.867,225.027,225.027,176.989,176.989,169.404,169.404,243.625
会计年终之现金及现金等价物,211.219,223.867,230.164,225.027,148.348,176.989,165.352,169.404
外汇兑换率变动之影响,6.954,-15.437,-4.204,-8.28,-4.884,-2.468,1.411,-2.751
购置固定资产款项,-9.146,-56.479,-34.938,-47.924,-11.739,-102.51,-74.818,-99.395
币种,港币,港币,港币,港币,港币,港币,港币,港币
