报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
经营业务所得之现金流入净额,4.146,0.196,18.381
投资活动之现金流入净额,-0.751,-0.557,-1.663
融资活动之现金流入净额,-7.977,1.46,-10.963
现金及现金等价物增加,-4.582,1.099,5.755
会计年初之现金及现金等价物,7.684,6.323,0.568
会计年终之现金及现金等价物,2.797,7.684,6.323
外汇兑换率变动之影响,-0.305,0.262,--
购置固定资产款项,-0.751,-0.557,-2.344
币种,人民币,人民币,人民币
