报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-4683.325,394.151,-948.917,-626.074,401.226,-413.134
投资活动之现金流入净额,-1101.006,-1043.433,-1498.359,-365.279,-1274.579,-105.379
融资活动之现金流入净额,6539.443,484.672,2092.478,996.427,1417.141,604.287
现金及现金等价物增加,755.112,-164.61,-354.798,5.074,543.788,85.774
会计年初之现金及现金等价物,502.439,502.439,858.892,858.892,317.654,233.689
会计年终之现金及现金等价物,1245.628,320.478,502.439,865.351,858.892,317.654
外汇兑换率变动之影响,-11.923,-17.351,-1.655,1.385,-2.55,-1.809
购置固定资产款项,-9.885,-4.219,-14.177,-7.208,-8.826,-4.843
币种,港币,港币,港币,港币,港币,港币
