报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
报表类型,一季报,年报,三季报,中报,一季报,年报,三季报,中报
经营业务所得之现金流入净额,-7828.937251,-6812.997,-15498.65194,-14113.351,-9744.040028,3612.152,-22151.315655,-359.208
投资活动之现金流入净额,1201.638539,6467.292,-190.824868,8371.087,-18.404416,-16695.901,-889.300335,-5935.104
融资活动之现金流入净额,-60.659107,5515.288,1863.511648,137.63,-158.514832,11082.4,6843.704203,2249.82
现金及现金等价物增加,-6687.95782,5169.583,-13825.96516,-5604.634,-9920.959276,-2001.349,-16196.911787,-4044.492
会计年初之现金及现金等价物,51237.27744,17546.809,50283.05852,17546.809,50283.05852,19213.798,61522.861767,17884.704
会计年终之现金及现金等价物,44543.513131,22316.837,36321.069357,11840.414,40317.416639,17546.809,45410.936335,13895.472
外汇兑换率变动之影响,-5.806489,-399.555,-136.024003,-101.761,-44.682605,334.36,84.986355,55.26
购置固定资产款项,-66.556207,-389.563,-321.844524,-85.102,-33.951121,-318.748,-252.218896,-215.67
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
