报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
经营业务所得之现金流入净额,12.273473,65.366329,27.347007,-21.580607
投资活动之现金流入净额,-99.399722,-36.418902,-44.579578,-34.805853
融资活动之现金流入净额,175.3602,-30.360115,23.654234,56.149908
现金及现金等价物增加,88.233951,-1.412688,6.421663,-0.236552
会计年初之现金及现金等价物,22.964807,23.455236,16.325524,16.723363
会计年终之现金及现金等价物,110.737589,22.964807,23.455236,16.325524
外汇兑换率变动之影响,-0.461169,0.922259,0.708049,-0.161287
购置固定资产款项,-81.867125,-34.347827,-33.504038,-23.470897
币种,美元,美元,美元,美元
