报告期,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2014-06-30.1,2013-12-31,2013-06-30,2013-06-30.1
报表类型,中报,年报,中报,中报,中报,年报,中报,中报
经营业务所得之现金流入净额,17.586,358.574,77.665,91.342,91.342,29.804,-14.474,-14.474
投资活动之现金流入净额,-8.015,31.738,153.476,-18.103,-18.103,-14.826,-4.501,-4.501
融资活动之现金流入净额,67.368,-559.677,-306.095,-30.441,-30.441,-102.486,-36.552,-36.552
现金及现金等价物增加,76.939,-169.365,-74.954,42.798,42.798,-87.508,-55.527,-55.527
会计年初之现金及现金等价物,110.724,279.78,134.55,42.359,42.359,128.488,128.488,128.488
会计年终之现金及现金等价物,187.663,110.724,60.451,83.972,83.972,42.359,74.208,74.208
外汇兑换率变动之影响,--,0.309,0.855,-1.185,-1.185,1.379,1.247,1.247
购置固定资产款项,--,-27.024,--,-9.123,-8.557,-19.23,-9.766,-9.766
币种,人民币,人民币,港币,美元,美元,美元,美元,美元
