报告期,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2013-06-30.1,2012-12-31
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
经营业务所得之现金流入净额,-218.899,-18.03,-354.998,-165.233,-9.421,-9.145,-12.791,-3.645
投资活动之现金流入净额,-309.022,-114.344,-33.192,-19.486,22.119,-0.815,-0.815,0
融资活动之现金流入净额,947.186,202.642,344.142,193.404,30.294,-0.076,-0.151,-0.075
现金及现金等价物增加,419.265,70.268,-44.048,8.685,42.992,-10.036,-13.757,-3.72
会计年初之现金及现金等价物,2.879,2.879,46.936,46.936,3.944,13.487,16.44,16.44
会计年终之现金及现金等价物,420.887,73.168,2.879,55.59,46.936,3.944,3.944,13.487
外汇兑换率变动之影响,-1.257,0.021,-0.009,-0.031,--,0.493,1.261,0.767
购置固定资产款项,-15.581,-0.016,-4.71,-2.633,-1.66,-0.818,-0.818,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
