报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,-3.925,-50.446,-16.443,69.515,110.636,34.204,57.442
投资活动之现金流入净额,20.454,14.505,-4.013,-84.099,-18.628,186.231,-56.904
融资活动之现金流入净额,-60.686,25.687,59.463,-4.017,-70.073,-241.278,-87.417
现金及现金等价物增加,-44.157,-10.254,39.007,-18.601,21.935,-20.843,-86.879
会计年初之现金及现金等价物,73.647,73.647,33.131,33.131,10.64,31.297,118.187
会计年终之现金及现金等价物,26.241,62.547,73.647,15.227,33.131,10.64,31.297
外汇兑换率变动之影响,-3.249,-0.846,1.509,0.697,0.556,0.186,-0.011
购置固定资产款项,-22.716,-9.291,-5.591,-3.438,-7.577,-21.754,-4.938
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
