报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,8.625,-11.989,33.762,28.661,3.056,18.026
投资活动之现金流入净额,-13.073,-2.604,-1.177,-0.464,-1.254,-3.034
融资活动之现金流入净额,52.43,52.558,-32.886,-28.563,3.229,-5.762
现金及现金等价物增加,47.982,37.965,-0.301,-0.366,5.031,9.23
会计年初之现金及现金等价物,14.301,14.301,14.602,14.602,9.571,0.341
会计年终之现金及现金等价物,62.283,52.266,14.301,14.236,14.602,9.571
外汇兑换率变动之影响,--,--,--,--,--,--
购置固定资产款项,-11.959,--,-1.482,--,-1.168,-0.828
币种,港币,港币,港币,港币,港币,港币
