报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,15.649,-15.936,24.322,52.403,14.226,15.064,53.424
投资活动之现金流入净额,-5.857,-9.264,-5.893,-10.644,1.834,-11.983,-22.97
融资活动之现金流入净额,-1.83,43.109,-15.998,-33.45,25.383,-12.184,9.148
现金及现金等价物增加,7.962,17.909,2.431,8.309,41.443,-9.103,39.602
会计年初之现金及现金等价物,70.592,52.722,52.722,44.426,44.426,53.345,13.714
会计年终之现金及现金等价物,78.266,70.592,55.019,52.722,85.587,44.426,53.345
外汇兑换率变动之影响,-0.288,-0.039,-0.134,-0.013,-0.282,0.184,0.029
购置固定资产款项,-11.593,-14.127,-5.844,-29.587,-17.146,-2.853,-20.083
币种,港币,港币,港币,港币,港币,港币,港币
