报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-13.032,10.516,0.77,-9.129,8.268,21.053,10.896
投资活动之现金流入净额,-1.286,-5.849,-0.973,-4.583,-0.03,-9.687,1.279
融资活动之现金流入净额,63.101,-3.196,0.814,34.988,-8.073,-4.451,-4.711
现金及现金等价物增加,48.783,1.471,0.611,21.276,0.165,6.915,7.464
会计年初之现金及现金等价物,44.889,43.267,43.267,21.778,21.778,14.839,7.375
会计年终之现金及现金等价物,92.342,44.889,43.789,43.267,21.95,21.778,14.839
外汇兑换率变动之影响,-1.33,0.151,-0.089,0.213,0.007,0.024,--
购置固定资产款项,-1.287,-5.877,-1.212,-4.823,-0.149,-9.869,-7.512
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
