报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31
报表类型,中报,年报,中报,年报,中报,年报,年报
经营业务所得之现金流入净额,-3.884,4.895,2.036,-14.049,-1.551,15.001,2.378
投资活动之现金流入净额,-0.864,-5.281,-1.592,-19.242,-2.335,-2.169,-0.323
融资活动之现金流入净额,0.055,-12.07,-5.077,41.757,4.589,-1.835,0.906
现金及现金等价物增加,-4.693,-12.456,-4.633,8.466,0.703,10.997,2.961
会计年初之现金及现金等价物,19.641,32.097,32.097,23.631,23.631,12.634,9.673
会计年终之现金及现金等价物,14.948,19.641,27.464,32.097,24.334,23.631,12.634
外汇兑换率变动之影响,--,--,--,--,--,--,--
购置固定资产款项,-0.094,-0.392,-0.217,-1.859,-0.57,-0.698,-0.429
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
