报告期,2016-03-31,2015-03-31
报表类型,年报,年报
经营业务所得之现金流入净额,25.7,-19.244
投资活动之现金流入净额,-2.91,-1.996
融资活动之现金流入净额,2.214,-1.627
现金及现金等价物增加,25.004,-22.867
会计年初之现金及现金等价物,-15.378,7.489
会计年终之现金及现金等价物,9.626,-15.378
外汇兑换率变动之影响,--,--
购置固定资产款项,-0.065,-0.152
币种,港币,港币
