报告期,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
经营业务所得之现金流入净额,-153.232,-93.659,5.878,15.288,22.89,12.244,6.048,18.85
投资活动之现金流入净额,-7.375,-100.314,-183.923,-1.19,-0.593,-1.483,-0.37,-4.345
融资活动之现金流入净额,14.928,503.141,190.039,-15.84,-15.84,-14.401,-14.4,-9.602
现金及现金等价物增加,-145.679,309.168,11.994,-1.742,6.457,-3.64,-8.722,4.903
会计年初之现金及现金等价物,316.345,19.992,19.992,21.758,21.758,25.398,25.398,20.599
会计年终之现金及现金等价物,177.257,316.345,31.954,19.992,28.222,21.758,16.637,25.398
外汇兑换率变动之影响,6.591,-12.815,-0.032,-0.024,0.007,--,-0.039,-0.104
购置固定资产款项,-30.721,-55.884,-29.147,-1.241,-0.621,-1.56,-0.422,-3.464
币种,港币,港币,港币,港币,港币,港币,港币,港币
