报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
报表类型,一季报,年报,三季报,中报,一季报,年报,三季报,中报
营业额,235.78048445,1203.49695502,848.3674312999999,535.80608523,270.43851408999996,889.52525025,701.3736003099999,485.07477892
除税前盈利/(亏损),-24.17938488,31.63631762,-79.65959432,-46.25229111,-24.80262806,-179.01454575,-121.12633836,-79.93518345
税项,-1.35428916,-8.49068472,-3.24285671,-2.09040664,-1.0499794,-1.6433458300000001,-1.8982052600000001,-1.34223426
除税后盈利/(亏损),-25.533674039999998,23.1456329,-82.90245103,-48.34269775,-25.85260746,-180.65789158,-123.02454362,-81.27741771
少数股东权益,-3.8834790200000002,2.27726889,-13.943121609999999,-4.29270605,-7.00402959,-31.87030639,-31.316647579999998,-19.113190109999998
股东应占盈利/(亏损),-21.650195019999998,20.86836401,-68.95932942,-44.0499917,-18.84857787,-148.78758519,-91.70789604000001,-62.164227600000004
股息,,,,,,,,
除税及股息后盈利/(亏损),-21.650195019999998,20.86836401,-68.95932942,-44.0499917,-18.84857787,-148.78758519,-91.70789604000001,-62.164227600000004
基本每股盈利(仙),-5.000000,5.000000,-16.000000,-10.000000,-4.000000,-35.000000,-22.000000,-15.000000
摊薄每股盈利(仙),-5.000000,5.000000,-16.000000,-10.000000,-4.000000,-35.000000,-22.000000,-15.000000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-213.52711213,-1008.93369875,-772.03990316,-473.57892199,-252.68583831,-791.5055201399999,-675.37052164,-458.96262314999996
折旧,--,--,--,-36.39926821,--,-85.25336718000001,--,-39.60380669
销售及分销费用,-12.89136038,-65.4043238,-38.27024265,-25.48421191,-13.50078501,-70.89254665,-47.35318922,-30.33479609
一般及行政费用,-25.28250674,-119.31494933,-78.97277755,-47.48475646,-23.53906613,-130.79418174,-91.17775834999999,-64.37704608
利息费用/融资成本,-6.27126222,-24.43949307,-16.93082573,-11.421395050000001,-4.681992269999999,-13.90966682,-10.244502839999999,-8.67659325
毛利,22.25337232,194.56325627,76.32752814,62.22716324,17.75267578,85.53258033,22.29272858,23.75973557
经营盈利,-24.431180910000002,3.03314211,-87.01146604,-49.14079009,-27.08711163,-197.84524811000003,-133.98958190000002,-89.85626886
应占联营公司盈利,-0.07330028,-4.58613002,-2.32270226,-2.50657834,0.6209558900000001,6.81957837,5.13515411,2.41444517
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
