报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
经营业务所得之现金流入净额,-34.39,-39.72,27.085,22.278,4.883,38.542,5.398
投资活动之现金流入净额,-30.795,25.84,-75.54,-3.198,-27.949,-40.959,-9.966
融资活动之现金流入净额,75.981,91.93,49.243,-26.665,24.716,1.159,5.71
现金及现金等价物增加,10.796,78.05,0.788,-7.585,1.65,-1.258,1.142
会计年初之现金及现金等价物,2.678,2.678,1.89,1.89,0.24,1.498,0.356
会计年终之现金及现金等价物,13.474,80.728,2.678,-5.695,1.89,0.24,1.498
外汇兑换率变动之影响,--,--,--,--,--,--,--
购置固定资产款项,-13.496,-8.644,-72.085,-0.103,-0.731,-0.771,-0.056
币种,澳门元,澳门元,澳门元,澳门元,澳门元,澳门元,澳门元
